movement_id,date,origin_farm,origin_region,origin_zone,origin_lat,origin_lon,destination_farm,destination_region,destination_zone,destination_lat,destination_lon,species,animals,purpose
MOV-2025-0012,2025-01-16,NAM-OHA-0034,Ohangwena,NCA,-17.5678,15.7890,NAM-OHA-0112,Ohangwena,NCA,-17.6789,15.8901,Goats,45,Sale
MOV-2025-0013,2025-01-17,NAM-OSH-0023,Oshikoto,NCA,-18.1234,16.9876,NAM-OHA-0034,Ohangwena,NCA,-17.5678,15.7890,Cattle,67,Breeding
MOV-2025-0014,2025-01-18,NAM-KHO-0078,Khomas,FMD_Free,-22.4321,17.2345,NAM-WIN-ABT-01,Khomas,FMD_Free,-22.5700,17.0800,Cattle,156,Slaughter
MOV-2025-0015,2025-01-19,NAM-ERO-0067,Erongo,FMD_Free,-22.1234,14.5678,NAM-ERO-0123,Erongo,FMD_Free,-22.2345,14.6789,Sheep,89,Sale
MOV-2025-0016,2025-01-20,NAM-OMA-0078,Omaheke,FMD_Free,-21.9876,19.8765,NAM-OMA-0134,Omaheke,FMD_Free,-21.8765,19.7654,Cattle,34,Grazing
MOV-2025-0017,2025-01-21,NAM-KAV-0145,Kavango East,NCA,-18.0123,20.5678,NAM-KAV-0156,Kavango East,NCA,-18.1234,20.6789,Cattle,56,Sale
MOV-2025-0018,2025-01-22,NAM-ZAM-0167,Zambezi,NCA,-17.8901,24.1234,NAM-ZAM-0178,Zambezi,NCA,-17.7890,24.2345,Cattle,78,Grazing
MOV-2025-0019,2025-01-23,NAM-OTJ-0189,Otjozondjupa,FMD_Free,-20.5678,17.8901,NAM-KHO-0056,Khomas,FMD_Free,-22.5678,17.0834,Cattle,90,Sale
MOV-2025-0020,2025-01-24,NAM-KHO-0056,Khomas,FMD_Free,-22.5678,17.0834,NAM-ERO-0067,Erongo,FMD_Free,-22.1234,14.5678,Cattle,45,Breeding
MOV-2025-0021,2025-01-25,NAM-OSH-0089,Oshikoto,NCA,-18.2345,17.1234,NAM-KUN-0012,Kunene,NCA,-18.4521,13.8234,Cattle,67,Grazing
MOV-2025-0022,2025-01-26,NAM-OHA-0112,Ohangwena,NCA,-17.6789,15.8901,NAM-OSH-0023,Oshikoto,NCA,-18.1234,16.9876,Cattle,34,Sale
MOV-2025-0023,2025-01-27,NAM-HAR-0090,Hardap,FMD_Free,-24.3456,18.0123,NAM-WIN-ABT-01,Khomas,FMD_Free,-22.5700,17.0800,Cattle,189,Slaughter
MOV-2025-0024,2025-01-28,NAM-KAR-0090,Karas,FMD_Free,-26.1234,18.5678,NAM-KAR-0200,Karas,FMD_Free,-26.2345,18.6789,Cattle,56,Grazing
MOV-2025-0025,2025-01-29,NAM-OTJ-0101,Otjozondjupa,Protection,-19.5678,17.3456,NAM-OTJ-0189,Otjozondjupa,FMD_Free,-20.5678,17.8901,Cattle,78,Quarantine
MOV-2025-0026,2025-01-30,NAM-KUN-0012,Kunene,NCA,-18.4521,13.8234,NAM-OHA-0034,Ohangwena,NCA,-17.5678,15.7890,Cattle,45,Breeding
MOV-2025-0027,2025-01-31,NAM-ERO-0123,Erongo,FMD_Free,-22.2345,14.6789,NAM-KHO-0078,Khomas,FMD_Free,-22.4321,17.2345,Cattle,90,Sale
MOV-2025-0028,2025-02-01,NAM-OMA-0134,Omaheke,FMD_Free,-21.8765,19.7654,NAM-OTJ-0189,Otjozondjupa,FMD_Free,-20.5678,17.8901,Cattle,67,Grazing
MOV-2025-0029,2025-02-02,NAM-KAV-0156,Kavango East,NCA,-18.1234,20.6789,NAM-KAV-0145,Kavango East,NCA,-18.0123,20.5678,Cattle,34,Sale
MOV-2025-0030,2025-02-03,NAM-ZAM-0178,Zambezi,NCA,-17.7890,24.2345,NAM-KAV-0156,Kavango East,NCA,-18.1234,20.6789,Cattle,56,Breeding
MOV-2025-0031,2025-02-04,NAM-OSH-0023,Oshikoto,NCA,-18.1234,16.9876,NAM-OTJ-0101,Otjozondjupa,Protection,-19.5678,17.3456,Cattle,89,Quarantine
MOV-2025-0032,2025-02-05,NAM-OTJ-0101,Otjozondjupa,Protection,-19.5678,17.3456,NAM-OTJ-0189,Otjozondjupa,FMD_Free,-20.5678,17.8901,Cattle,67,Sale
MOV-2025-0033,2025-02-06,NAM-KHO-0056,Khomas,FMD_Free,-22.5678,17.0834,NAM-WIN-ABT-01,Khomas,FMD_Free,-22.5700,17.0800,Cattle,234,Slaughter
MOV-2025-0034,2025-02-07,NAM-OHA-0034,Ohangwena,NCA,-17.5678,15.7890,NAM-KUN-0045,Kunene,NCA,-18.3212,14.0123,Cattle,45,Grazing
MOV-2025-0035,2025-02-08,NAM-HAR-0089,Hardap,FMD_Free,-24.5678,17.8901,NAM-KHO-0078,Khomas,FMD_Free,-22.4321,17.2345,Cattle,78,Sale
MOV-2025-0036,2025-02-09,NAM-KAR-0200,Karas,FMD_Free,-26.2345,18.6789,NAM-HAR-0090,Hardap,FMD_Free,-24.3456,18.0123,Cattle,56,Breeding
MOV-2025-0037,2025-02-10,NAM-OTJ-0189,Otjozondjupa,FMD_Free,-20.5678,17.8901,NAM-WIN-ABT-01,Khomas,FMD_Free,-22.5700,17.0800,Cattle,145,Slaughter
MOV-2025-0038,2025-02-11,NAM-KUN-0045,Kunene,NCA,-18.3212,14.0123,NAM-OSH-0089,Oshikoto,NCA,-18.2345,17.1234,Cattle,34,Sale
MOV-2025-0039,2025-02-12,NAM-OSH-0089,Oshikoto,NCA,-18.2345,17.1234,NAM-OHA-0112,Ohangwena,NCA,-17.6789,15.8901,Goats,67,Breeding
MOV-2025-0040,2025-02-13,NAM-ERO-0067,Erongo,FMD_Free,-22.1234,14.5678,NAM-OMA-0078,Omaheke,FMD_Free,-21.9876,19.8765,Cattle,89,Grazing
